stop_id,stop_name,stop_lat,stop_lon,location_type
16689,"Inicio de ruta",20.9635486,-89.6245819,0
15933,"C-40 x 25 Residencial Los Pinos",21.0036268,-89.5784967,0
16190,"C-120 x 53-C Fracc. Las Américas",21.0753700,-89.6644300,0
17188,"Harinera Bola Roja",20.9794050,-89.6151080,0
17198,"Plaza Victory Platz",21.0332680,-89.6034970,0
16186,"C-112 x 55 Fracc. Las Américas",21.0734400,-89.6612600,0
1170,"BBVA Ciudad Industrial",20.9345193,-89.6713547,0
16003,"CUM",21.0262810,-89.6265950,0
16455,"C-3 x 38 Col. Uxmal",21.0218648,-89.6451282,0
16810,"Unidad Deportiva Ciudad Caucel",21.0050620,-89.7087100,0
16076,"Centros de Estudios CTM",20.9651730,-89.5909270,0
16951,"Fraccionamiento Ciudad Industrial C-16 Diag.",20.9296540,-89.6786150,0
16653,"​Talleres ADO",20.9447550,-89.6559590,0
16195,"Campocielo",21.0585200,-89.6391100,0
16571,"Parque Principal de Komchén",21.1033387,-89.6616179,0
16263,"C.50 x 39 Fracc. Fco. de Montejo",21.0425600,-89.6416700,0
16252,"Glorieta de Las Américas",21.0586100,-89.6454400,0
16645,"Centro Internacional de Congresos",20.9884460,-89.6208490,0
17157,"Fin de ruta",20.9656675,-89.6179622,0
16064,"Av. Universidad Pedagógica x 23-C",20.9527207,-89.5826166,0
16586,"Av. Yucatán x 36",21.0079440,-89.5781490,0
16352,"Plaza de Toros Mérida",20.9847000,-89.6250500,0
17047,"Plaza Oriente",20.9596160,-89.5908840,0
14431,"Crío",20.9615198,-89.6949697,0
15910,"Gran Plaza",21.0308370,-89.6252369,0
15920,"Centenario del Ejército Mexicano x 21",20.9317590,-89.6087350,0
16125,"Bodega Aurrera Fco. De Montejo",21.0301390,-89.6408430,0
16052,"C-21 x 24 María Luisa",20.9335223,-89.6079205,0
16986,"CLEU",20.9180710,-89.7013700,0
16013,"Av. Mérida 2000 x 7",21.0044167,-89.6614952,0
15292,"Jacinto Canek",20.9944580,-89.6735276,0
16120,"C-21 x 12 Chuburná",21.0111400,-89.6258860,0
16822,"C-117 Diag. x 85 Fracc. Los Almendros",20.9903460,-89.7070500,0
17191,"Av. Libano x 29",20.9990820,-89.6113930,0
846,"​Chedraui Itzáes",20.9602945,-89.6418451,0
17161,"San Vicente Residencial",21.0485550,-89.5962810,0
17138,"Jaraneros",20.9401573,-89.5693559,0
17129,"Fénix Hospitales",20.9802380,-89.6044766,0
16658,"​Aeropuerto Internacional de Mérida",20.9375180,-89.6672930,0
16040,"Ejército de Salvación",20.9418790,-89.6310036,0
14444,"Av. 86",20.8954812,-89.6501817,0
16535,"C-31 x 18 Comisaria de Komchén",21.1044200,-89.6487600,0
16517,"Royal Plaza Campocielo",21.0588900,-89.6414600,0
16061,"Deportivo CROC",20.9474453,-89.5879060,0
17166,"Parque de Santa Gertrudis Copó",21.0400820,-89.5965470,0
17053,"Ex Fuente Maya",20.9507810,-89.5924440,0
13094,"Los Héroes",20.9811353,-89.5642330,0
17114,"Metropolitano Oriente",20.9815853,-89.5717427,0
17039,"Subdirección de Salud del Ayuntamiento de Mérida",20.9748460,-89.5807500,0
15816,"Fin de ruta",20.9693092,-89.6214223,0
15794,"Inicio de ruta",20.9689636,-89.6214974,0
16554,"Suites Mérida",21.0324492,-89.6302528,0
16475,"Plaza Colibri",21.0273300,-89.6485200,0
17033,"Inicio de ruta",20.9223762,-89.6874475,0
15989,"UNID Campus Fco. de Montejo",21.0220338,-89.6504443,0
15907,"Av. Fidel Velázquez x 22",20.9678138,-89.5695165,0
16426,"C-29 x 16 Col. Chuburna de Hidalgo",21.0062200,-89.6302500,0
16596,"C-52 x 11 Residencial Pensiones",20.9951940,-89.6479340,0
17210,"Golden Island",21.0160330,-89.6081600,0
16472,"C-58 x 57 Fracc. Fco de Montejo",21.0266500,-89.6539700,0
16080,"C-50 x 51 Pacabtún",20.9705680,-89.5799820,0
15959,"Unidad Deportiva Pacabtún",20.9752483,-89.5804278,0
16043,"Av. Constitución x 46-A",20.9425608,-89.6147548,0
16084,"Polígono 108",20.9894878,-89.5716194,0
1197,"Escuela Secundaria Federal No.2",20.9701886,-89.6575307,0
16112,"Escuela Primaria Elda M. Campos Navarrete",21.0323160,-89.6148190,0
988,"Pan Perlita Itzáes",20.9616670,-89.6418885,0
16382,"UMAA IMSS Mérida",20.9973912,-89.6526277,0
16407,"C-14 x 13 Col. Garcia Ginerés",20.9904100,-89.6293300,0
16255,"Ford Américas",21.0552800,-89.6417200,0
16152,"Av. Mérida 2000 x 69-C",20.9765420,-89.6630670,0
16196,"Campocielo",21.0586600,-89.6391300,0
16711,"C-31 x Plaza Jade",21.0048310,-89.7016590,0
16338,"C-30 x 13 Col. Garcia Ginerés",20.9919800,-89.6380100,0
